	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
SB18_54	VPXIISB18_55.FIN2	08/09/2013 (1) 02:44:59.00	08/09/2013 (1)	02:44:59.00	22.986	VPXIISB18_55.FIN2	13.62	0.16	0.89	0.5206	0.0053	0.024	0.81503	1.920861	0.08855293	0.1870	0.0015	0.0078	-0.041022	0.1418	0.0022	no value	NAN	no value	NAN	FILENAME: VPXIISB18_55.FIN2
SB18_55	VPXIISB18_56.FIN2	08/09/2013 (1) 02:47:43.00	08/09/2013 (1)	02:47:43.00	22.985	VPXIISB18_56.FIN2	12.96	0.20	0.85	0.5052	0.0071	0.024	0.67114	1.979414	0.09403392	0.1845	0.0022	0.0079	0.19827	0.1399	0.0027	no value	NAN	no value	NAN	FILENAME: VPXIISB18_56.FIN2
SB18_56	VPXIISB18_57.FIN2	08/09/2013 (1) 02:49:03.00	08/09/2013 (1)	02:49:03.00	22.986	VPXIISB18_57.FIN2	13.16	0.18	0.86	0.5025	0.0061	0.023	0.69694	1.99005	0.09108685	0.1885	0.0019	0.0079	0.21477	0.1386	0.0025	no value	NAN	no value	NAN	FILENAME: VPXIISB18_57.FIN2
SB18_57	VPXIISB18_58.FIN2	08/09/2013 (1) 02:50:24.00	08/09/2013 (1)	02:50:24.00	22.985	VPXIISB18_58.FIN2	11.63	0.17	0.76	0.4873	0.0050	0.022	0.65262	2.052124	0.09264668	0.1716	0.0019	0.0073	0.10751	0.1371	0.0023	no value	NAN	no value	NAN	FILENAME: VPXIISB18_58.FIN2
SB18_58	VPXIISB18_59.FIN2	08/09/2013 (1) 02:51:45.00	08/09/2013 (1)	02:51:45.00	22.986	VPXIISB18_59.FIN2	6.075	0.099	0.40	0.3478	0.0042	0.016	0.478	2.875216	0.1322698	0.1250	0.0018	0.0054	0.2559	0.0980	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_59.FIN2
SB18_59	VPXIISB18_60.FIN2	08/09/2013 (1) 02:53:05.00	08/09/2013 (1)	02:53:05.00	22.986	VPXIISB18_60.FIN2	11.67	0.18	0.77	0.4566	0.0056	0.021	0.85306	2.190101	0.1007274	0.1828	0.0014	0.0076	0.0082332	0.1289	0.0022	no value	NAN	no value	NAN	FILENAME: VPXIISB18_60.FIN2
SB18_60	VPXIISB18_61.FIN2	08/09/2013 (1) 02:57:11.00	08/09/2013 (1)	02:57:11.00	22.986	VPXIISB18_61.FIN2	6.166	0.075	0.40	0.3547	0.0039	0.016	0.72914	2.819284	0.1271738	0.1249	0.0011	0.0052	0.22607	0.0994	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB18_61.FIN2
SB18_61	VPXIISB18_62.FIN2	08/09/2013 (1) 02:58:31.00	08/09/2013 (1)	02:58:31.00	22.985	VPXIISB18_62.FIN2	5.511	0.067	0.36	0.3451	0.0035	0.016	0.67477	2.897711	0.1343476	0.1153	0.0011	0.0048	0.15708	0.1044	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB18_62.FIN2
SB18_62	VPXIISB18_63.FIN2	08/09/2013 (1) 02:59:52.00	08/09/2013 (1)	02:59:52.00	22.986	VPXIISB18_63.FIN2	6.169	0.068	0.40	0.3542	0.0033	0.016	0.74355	2.823264	0.1275331	0.12541	0.00092	0.0052	0.24232	0.1000	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB18_63.FIN2
SB18_63	VPXIISB18_64.FIN2	08/09/2013 (1) 03:01:12.00	08/09/2013 (1)	03:01:12.00	22.986	VPXIISB18_64.FIN2	5.413	0.046	0.35	0.3354	0.0026	0.015	0.59531	2.981515	0.1333414	0.11633	0.00083	0.0048	0.38218	0.0966	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_64.FIN2
SB18_64	VPXIISB18_65.FIN2	08/09/2013 (1) 03:02:33.00	08/09/2013 (1)	03:02:33.00	22.985	VPXIISB18_65.FIN2	3.772	0.062	0.25	0.2774	0.0036	0.013	0.50891	3.604903	0.1689392	0.0988	0.0015	0.0043	0.30156	0.0824	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_65.FIN2
SB18_65	VPXIISB18_66.FIN2	08/09/2013 (1) 03:05:16.00	08/09/2013 (1)	03:05:16.00	22.986	VPXIISB18_66.FIN2	12.37	0.14	0.80	0.4394	0.0051	0.020	0.89202	2.275831	0.1035881	0.2062	0.0012	0.0085	0.38535	0.1333	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB18_66.FIN2
SB18_66	VPXIISB18_67.FIN2	08/09/2013 (1) 03:06:37.00	08/09/2013 (1)	03:06:37.00	22.985	VPXIISB18_67.FIN2	12.71	0.16	0.83	0.5085	0.0051	0.023	0.67034	1.966568	0.08894999	0.1828	0.0018	0.0077	0.20811	0.1380	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_67.FIN2
SB18_67	VPXIISB18_68.FIN2	08/09/2013 (1) 03:07:58.00	08/09/2013 (1)	03:07:58.00	22.985	VPXIISB18_68.FIN2	2.249	0.026	0.15	0.2021	0.0019	0.0093	0.69008	4.948046	0.2276933	0.08122	0.00064	0.0034	0.26309	0.06102	0.00073	no value	NAN	no value	NAN	FILENAME: VPXIISB18_68.FIN2
SB18_68	VPXIISB18_69.FIN2	08/09/2013 (1) 03:09:18.00	08/09/2013 (1)	03:09:18.00	22.986	VPXIISB18_69.FIN2	5.346	0.087	0.35	0.3386	0.0038	0.016	0.4714	2.953337	0.1395552	0.1152	0.0016	0.0050	0.3107	0.0964	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_69.FIN2
SB18_69	VPXIISB18_70.FIN2	08/09/2013 (1) 03:10:39.00	08/09/2013 (1)	03:10:39.00	22.985	VPXIISB18_70.FIN2	6.862	0.069	0.44	0.3854	0.0033	0.018	0.67001	2.594707	0.1211851	0.12963	0.00098	0.0054	0.27154	0.1084	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB18_70.FIN2
SB18_70	VPXIISB18_71.FIN2	08/09/2013 (1) 03:14:44.00	08/09/2013 (1)	03:14:44.00	22.985	VPXIISB18_71.FIN2	4.409	0.064	0.29	0.3057	0.0033	0.014	0.59492	3.271181	0.1498087	0.1049	0.0012	0.0045	0.1928	0.0872	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_71.FIN2
SB18_71	VPXIISB18_72.FIN2	08/09/2013 (1) 03:16:04.00	08/09/2013 (1)	03:16:04.00	22.986	VPXIISB18_72.FIN2	13.45	0.22	0.89	0.5330	0.0075	0.025	0.66858	1.876173	0.08800059	0.1836	0.0023	0.0079	0.26872	0.1456	0.0031	no value	NAN	no value	NAN	FILENAME: VPXIISB18_72.FIN2
SB18_72	VPXIISB18_73.FIN2	08/09/2013 (1) 03:17:25.00	08/09/2013 (1)	03:17:25.00	22.986	VPXIISB18_73.FIN2	13.27	0.14	0.86	0.5237	0.0053	0.024	0.64356	1.90949	0.08750766	0.1850	0.0017	0.0078	0.30131	0.1404	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_73.FIN2
SB18_73	VPXIISB18_74.FIN2	08/09/2013 (1) 03:18:46.00	08/09/2013 (1)	03:18:46.00	22.985	VPXIISB18_74.FIN2	5.686	0.056	0.37	0.3536	0.0030	0.016	0.62635	2.828054	0.1279663	0.11767	0.00099	0.0049	0.26334	0.1050	0.0015	no value	NAN	no value	NAN	FILENAME: VPXIISB18_74.FIN2
SB18_74	VPXIISB18_75.FIN2	08/09/2013 (1) 03:20:07.00	08/09/2013 (1)	03:20:07.00	22.986	VPXIISB18_75.FIN2	6.312	0.093	0.41	0.3859	0.0046	0.018	0.54306	2.591345	0.1208712	0.1194	0.0014	0.0051	0.21875	0.1071	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_75.FIN2
SB18_75	VPXIISB18_76.FIN2	08/09/2013 (1) 03:22:50.00	08/09/2013 (1)	03:22:50.00	22.986	VPXIISB18_76.FIN2	17.06	0.23	1.1	0.5807	0.0065	0.027	0.60228	1.72206	0.08006821	0.2139	0.0024	0.0091	0.2892	0.1593	0.0039	no value	NAN	no value	NAN	FILENAME: VPXIISB18_76.FIN2
SB18_76	VPXIISB18_77.FIN2	08/09/2013 (1) 03:24:10.00	08/09/2013 (1)	03:24:10.00	22.985	VPXIISB18_77.FIN2	26.52	0.65	1.8	0.730	0.018	0.037	0.94674	1.369863	0.06943141	0.2639	0.0020	0.011	0.20182	0.1943	0.0047	no value	NAN	no value	NAN	FILENAME: VPXIISB18_77.FIN2
SB18_77	VPXIISB18_78.FIN2	08/09/2013 (1) 03:25:31.00	08/09/2013 (1)	03:25:31.00	22.986	VPXIISB18_78.FIN2	3.363	0.056	0.22	0.2615	0.0026	0.012	0.33523	3.824092	0.1754841	0.0943	0.0016	0.0042	0.31756	0.07573	0.00096	no value	NAN	no value	NAN	FILENAME: VPXIISB18_78.FIN2
SB18_78	VPXIISB18_79.FIN2	08/09/2013 (1) 03:26:52.00	08/09/2013 (1)	03:26:52.00	22.985	VPXIISB18_79.FIN2	11.48	0.12	0.74	0.4791	0.0043	0.022	0.72389	2.087247	0.09584519	0.1737	0.0012	0.0072	0.26661	0.1338	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB18_79.FIN2
SB18_79	VPXIISB18_80.FIN2	08/09/2013 (1) 03:28:13.00	08/09/2013 (1)	03:28:13.00	22.986	VPXIISB18_80.FIN2	5.745	0.079	0.38	0.3498	0.0040	0.016	0.7184	2.858776	0.1307616	0.1185	0.0012	0.0050	0.16381	0.0985	0.0019	no value	NAN	no value	NAN	FILENAME: VPXIISB18_80.FIN2
SB18_80	VPXIISB18_81.FIN2	08/09/2013 (1) 03:32:18.00	08/09/2013 (1)	03:32:18.00	22.986	VPXIISB18_81.FIN2	4.789	0.065	0.31	0.3232	0.0031	0.015	0.42109	3.094059	0.1435981	0.1079	0.0014	0.0046	0.28182	0.0920	0.0013	no value	NAN	no value	NAN	FILENAME: VPXIISB18_81.FIN2
SB18_81	VPXIISB18_82.FIN2	08/09/2013 (1) 03:33:39.00	08/09/2013 (1)	03:33:39.00	22.986	VPXIISB18_82.FIN2	6.101	0.096	0.40	0.3667	0.0047	0.017	0.48738	2.727025	0.1264233	0.1217	0.0018	0.0053	0.33598	0.1022	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_82.FIN2
SB18_82	VPXIISB18_83.FIN2	08/09/2013 (1) 03:34:59.00	08/09/2013 (1)	03:34:59.00	22.985	VPXIISB18_83.FIN2	13.38	0.18	0.87	0.5219	0.0062	0.024	0.68294	1.916076	0.08811232	0.1862	0.0019	0.0079	0.30057	0.1410	0.0025	no value	NAN	no value	NAN	FILENAME: VPXIISB18_83.FIN2
SB18_83	VPXIISB18_84.FIN2	08/09/2013 (1) 03:36:20.00	08/09/2013 (1)	03:36:20.00	22.986	VPXIISB18_84.FIN2	2.332	0.047	0.16	0.2089	0.0033	0.0099	0.59955	4.786979	0.2268602	0.0811	0.0013	0.0036	0.22151	0.0597	0.0015	no value	NAN	no value	NAN	FILENAME: VPXIISB18_84.FIN2
SB18_84	VPXIISB18_85.FIN2	08/09/2013 (1) 03:37:41.00	08/09/2013 (1)	03:37:41.00	22.985	VPXIISB18_85.FIN2	6.19	0.10	0.41	0.3655	0.0042	0.017	0.45923	2.735978	0.1272548	0.1224	0.0018	0.0053	0.32507	0.1025	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB18_85.FIN2
SB18_85	VPXIISB18_86.FIN2	08/09/2013 (1) 03:40:24.00	08/09/2013 (1)	03:40:24.00	22.986	VPXIISB18_86.FIN2	3.774	0.051	0.25	0.2791	0.0029	0.013	0.66218	3.582945	0.1668875	0.0978	0.0010	0.0041	0.15135	0.0806	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_86.FIN2
SB18_86	VPXIISB18_87.FIN2	08/09/2013 (1) 03:41:45.00	08/09/2013 (1)	03:41:45.00	22.986	VPXIISB18_87.FIN2	2.227	0.028	0.15	0.2022	0.0019	0.0093	0.39816	4.945598	0.2274682	0.07958	0.00095	0.0034	0.32834	0.06089	0.00090	no value	NAN	no value	NAN	FILENAME: VPXIISB18_87.FIN2
SB18_87	VPXIISB18_88.FIN2	08/09/2013 (1) 03:43:05.00	08/09/2013 (1)	03:43:05.00	22.985	VPXIISB18_88.FIN2	4.754	0.059	0.31	0.3228	0.0030	0.015	0.5592	3.097893	0.1439542	0.1062	0.0012	0.0045	0.22549	0.0927	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_88.FIN2
SB18_88	VPXIISB18_89.FIN2	08/09/2013 (1) 03:44:26.00	08/09/2013 (1)	03:44:26.00	22.986	VPXIISB18_89.FIN2	6.252	0.082	0.41	0.3747	0.0038	0.017	0.54842	2.668802	0.1210825	0.1211	0.0014	0.0051	0.33226	0.1084	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_89.FIN2
SB18_89	VPXIISB18_90.FIN2	08/09/2013 (1) 03:45:46.00	08/09/2013 (1)	03:45:46.00	22.986	VPXIISB18_90.FIN2	4.71	0.11	0.32	0.3169	0.0051	0.015	0.74079	3.15557	0.1493643	0.1075	0.0016	0.0047	-0.0336	0.0912	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_90.FIN2
SB18_90	VPXIISB18_91.FIN2	08/09/2013 (1) 03:49:51.00	08/09/2013 (1)	03:49:51.00	22.986	VPXIISB18_91.FIN2	5.180	0.072	0.34	0.3391	0.0035	0.016	0.6506	2.948983	0.139144	0.1107	0.0011	0.0047	0.15533	0.0952	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_91.FIN2
SB18_91	VPXIISB18_92.FIN2	08/09/2013 (1) 03:51:11.00	08/09/2013 (1)	03:51:11.00	22.986	VPXIISB18_92.FIN2	15.30	0.27	1.0	0.5634	0.0073	0.026	0.7173	1.774938	0.08191052	0.1965	0.0023	0.0084	0.09845	0.1555	0.0022	no value	NAN	no value	NAN	FILENAME: VPXIISB18_92.FIN2
SB18_92	VPXIISB18_93.FIN2	08/09/2013 (1) 03:52:32.00	08/09/2013 (1)	03:52:32.00	22.985	VPXIISB18_93.FIN2	6.886	0.098	0.45	0.3873	0.0044	0.018	0.41744	2.581978	0.119999	0.1274	0.0018	0.0055	0.41506	0.1102	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_93.FIN2
SB18_93	VPXIISB18_94.FIN2	08/09/2013 (1) 03:53:53.00	08/09/2013 (1)	03:53:53.00	22.986	VPXIISB18_94.FIN2	2.241	0.038	0.15	0.2035	0.0021	0.0094	0.43221	4.914005	0.226986	0.0786	0.0013	0.0035	0.159	0.0605	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_94.FIN2
SB18_94	VPXIISB18_95.FIN2	08/09/2013 (1) 03:55:13.00	08/09/2013 (1)	03:55:13.00	22.986	VPXIISB18_95.FIN2	2.444	0.047	0.16	0.2106	0.0020	0.0097	0.5874	4.748338	0.2187031	0.0836	0.0014	0.0037	-0.085177	0.0657	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_95.FIN2
SB18_95	VPXIISB18_96.FIN2	08/09/2013 (1) 03:57:57.00	08/09/2013 (1)	03:57:57.00	22.986	VPXIISB18_96.FIN2	15.50	0.34	1.0	0.572	0.011	0.028	0.73775	1.748252	0.08557876	0.1971	0.0031	0.0087	0.26122	0.1570	0.0041	no value	NAN	no value	NAN	FILENAME: VPXIISB18_96.FIN2
SB18_96	VPXIISB18_97.FIN2	08/09/2013 (1) 03:59:18.00	08/09/2013 (1)	03:59:18.00	22.986	VPXIISB18_97.FIN2	11.80	0.19	0.78	0.5039	0.0076	0.024	0.83578	1.984521	0.09451974	0.1663	0.0018	0.0070	-0.10247	0.1423	0.0028	no value	NAN	no value	NAN	FILENAME: VPXIISB18_97.FIN2
SB18_97	VPXIISB18_98.FIN2	08/09/2013 (1) 04:00:39.00	08/09/2013 (1)	04:00:39.00	22.985	VPXIISB18_98.FIN2	5.222	0.079	0.34	0.3379	0.0040	0.016	0.59572	2.959455	0.140134	0.1109	0.0013	0.0047	0.27684	0.0980	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_98.FIN2
SB18_98	VPXIISB18_100.FIN2	08/09/2013 (1) 04:03:20.00	08/09/2013 (1)	04:03:20.00	22.986	VPXIISB18_100.FIN2	5.084	0.066	0.33	0.3450	0.0038	0.016	0.64437	2.898551	0.1344255	0.1063	0.0011	0.0045	0.22297	0.0997	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_100.FIN2
																										
SB21_1	VPXIISB21_1.FIN2	08/09/2013 (1) 04:07:24.00	08/09/2013 (1)	04:07:24.00	22.986	VPXIISB21_1.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_1.FIN2
SB21_2	VPXIISB21_2.FIN2	08/09/2013 (1) 04:08:45.00	08/09/2013 (1)	04:08:45.00	22.986	VPXIISB21_2.FIN2	3.153	0.058	0.21	0.2609	0.0032	0.012	0.44612	3.832886	0.1762922	0.0870	0.0015	0.0039	0.17519	0.0769	0.0017	no value	NAN	no value	NAN	FILENAME: VPXIISB21_2.FIN2
SB21_3	VPXIISB21_3.FIN2	08/09/2013 (1) 04:10:06.00	08/09/2013 (1)	04:10:06.00	22.986	VPXIISB21_3.FIN2	3.761	0.047	0.25	0.2830	0.0026	0.013	0.53157	3.533569	0.1623194	0.0949	0.0010	0.0040	0.1507	0.0835	0.0015	no value	NAN	no value	NAN	FILENAME: VPXIISB21_3.FIN2
SB21_4	VPXIISB21_4.FIN2	08/09/2013 (1) 04:11:26.00	08/09/2013 (1)	04:11:26.00	22.986	VPXIISB21_4.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_4.FIN2
SB21_5	VPXIISB21_5.FIN2	08/09/2013 (1) 04:12:47.00	08/09/2013 (1)	04:12:47.00	22.985	VPXIISB21_5.FIN2	3.047	0.042	0.20	0.2386	0.0022	0.011	0.56877	4.191115	0.1932199	0.0911	0.0010	0.0039	0.17921	0.0691	0.0010	no value	NAN	no value	NAN	FILENAME: VPXIISB21_5.FIN2
SB21_6	VPXIISB21_6.FIN2	08/09/2013 (1) 04:15:30.00	08/09/2013 (1)	04:15:30.00	22.986	VPXIISB21_6.FIN2	5.99	0.18	0.43	0.2901	0.0066	0.015	0.66148	3.447087	0.1782362	0.1438	0.0037	0.0070	0.26446	0.0658	0.0044	no value	NAN	no value	NAN	FILENAME: VPXIISB21_6.FIN2
SB21_7	VPXIISB21_7.FIN2	08/09/2013 (1) 04:16:51.00	08/09/2013 (1)	04:16:51.00	22.985	VPXIISB21_7.FIN2	9.64	0.20	0.65	0.4174	0.0061	0.020	0.73837	2.395783	0.1147956	0.1651	0.0022	0.0071	-0.032293	0.1186	0.0027	no value	NAN	no value	NAN	FILENAME: VPXIISB21_7.FIN2
SB21_8	VPXIISB21_8.FIN2	08/09/2013 (1) 04:18:11.00	08/09/2013 (1)	04:18:11.00	22.985	VPXIISB21_8.FIN2	3.328	0.065	0.22	0.2492	0.0031	0.012	0.51223	4.012841	0.1932347	0.0957	0.0015	0.0042	0.21096	0.07454	0.00094	no value	NAN	no value	NAN	FILENAME: VPXIISB21_8.FIN2
SB21_9	VPXIISB21_9.FIN2	08/09/2013 (1) 04:19:32.00	08/09/2013 (1)	04:19:32.00	22.986	VPXIISB21_9.FIN2	3.894	0.082	0.26	0.2422	0.0073	0.013	0.47166	4.128819	0.2216129	0.1152	0.0031	0.0057	0.63631	0.0718	0.0026	no value	NAN	no value	NAN	FILENAME: VPXIISB21_9.FIN2
SB21_10	VPXIISB21_10.FIN2	08/09/2013 (1) 04:20:53.00	08/09/2013 (1)	04:20:53.00	22.986	VPXIISB21_10.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_10.FIN2
SB21_11	VPXIISB21_11.FIN2	08/09/2013 (1) 04:24:57.00	08/09/2013 (1)	04:24:57.00	22.986	VPXIISB21_11.FIN2	11.30	0.18	0.75	0.4644	0.0058	0.022	0.62632	2.153316	0.1020089	0.1750	0.0023	0.0075	0.20513	0.1308	0.0024	no value	NAN	no value	NAN	FILENAME: VPXIISB21_11.FIN2
SB21_12	VPXIISB21_12.FIN2	08/09/2013 (1) 04:26:18.00	08/09/2013 (1)	04:26:18.00	22.985	VPXIISB21_12.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_12.FIN2
SB21_13	VPXIISB21_13.FIN2	08/09/2013 (1) 04:27:38.00	08/09/2013 (1)	04:27:38.00	22.986	VPXIISB21_13.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_13.FIN2
SB21_14	VPXIISB21_14.FIN2	08/09/2013 (1) 04:28:59.00	08/09/2013 (1)	04:28:59.00	22.986	VPXIISB21_14.FIN2	5.35	0.10	0.36	0.3148	0.0050	0.015	0.95284	3.17662	0.1513637	0.12209	0.00079	0.0051	-0.25796	0.0790	0.0020	no value	NAN	no value	NAN	FILENAME: VPXIISB21_14.FIN2
SB21_15	VPXIISB21_15.FIN2	08/09/2013 (1) 04:30:19.00	08/09/2013 (1)	04:30:19.00	22.985	VPXIISB21_15.FIN2	3.20	0.27	0.34	0.250	0.015	0.018	0.95091	     4	 0.288	0.0859	0.0017	0.0039	0.052287	0.0726	0.0040	no value	NAN	no value	NAN	FILENAME: VPXIISB21_15.FIN2
SB21_16	VPXIISB21_16.FIN2	08/09/2013 (1) 04:33:01.00	08/09/2013 (1)	04:33:01.00	22.985	VPXIISB21_16.FIN2	2.39	0.10	0.18	0.2047	0.0063	0.011	0.78042	4.885198	0.2625167	0.0825	0.0027	0.0043	0.15472	0.090	0.011	no value	NAN	no value	NAN	FILENAME: VPXIISB21_16.FIN2
SB21_17	VPXIISB21_17.FIN2	08/09/2013 (1) 04:34:22.00	08/09/2013 (1)	04:34:22.00	22.986	VPXIISB21_17.FIN2	4.207	0.057	0.28	0.2978	0.0038	0.014	0.63915	3.357958	0.1578624	0.1014	0.0011	0.0043	0.26871	0.08154	0.00092	no value	NAN	no value	NAN	FILENAME: VPXIISB21_17.FIN2
SB21_18	VPXIISB21_18.FIN2	08/09/2013 (1) 04:35:43.00	08/09/2013 (1)	04:35:43.00	22.985	VPXIISB21_18.FIN2	6.213	0.093	0.41	0.3682	0.0045	0.017	0.38125	2.715915	0.1253953	0.1222	0.0019	0.0053	0.40651	0.1024	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB21_18.FIN2
SB21_19	VPXIISB21_19.FIN2	08/09/2013 (1) 04:37:04.00	08/09/2013 (1)	04:37:04.00	22.986	VPXIISB21_19.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_19.FIN2
SB21_20	VPXIISB21_20.FIN2	08/09/2013 (1) 04:38:25.00	08/09/2013 (1)	04:38:25.00	22.986	VPXIISB21_20.FIN2	6.395	0.088	0.42	0.3761	0.0045	0.017	0.63276	2.658867	0.1201828	0.1209	0.0014	0.0051	0.29346	0.1112	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB21_20.FIN2
SB21_21	VPXIISB21_21.FIN2	08/09/2013 (1) 04:42:28.00	08/09/2013 (1)	04:42:28.00	22.986	VPXIISB21_21.FIN2	no value	NAN		no value	NAN		NaN			no value	NAN		NaN	no value	NAN	no value	NAN	no value	NAN	FILENAME: VPXIISB21_21.FIN2
SB21_22	VPXIISB21_22.FIN2	08/09/2013 (1) 04:43:49.00	08/09/2013 (1)	04:43:49.00	22.986	VPXIISB21_22.FIN2	3.570	0.036	0.23	0.2657	0.0023	0.012	0.61804	3.763643	0.1699801	0.09623	0.00082	0.0040	0.30424	0.0750	0.0010	no value	NAN	no value	NAN	FILENAME: VPXIISB21_22.FIN2
SB21_23	VPXIISB21_23.FIN2	08/09/2013 (1) 04:45:10.00	08/09/2013 (1)	04:45:10.00	22.985	VPXIISB21_23.FIN2	6.758	0.090	0.44	0.3803	0.0045	0.018	0.46694	2.629503	0.1244572	0.1273	0.0017	0.0055	0.4019	0.1026	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB21_23.FIN2
SB21_24	VPXIISB21_24.FIN2	08/09/2013 (1) 04:46:30.00	08/09/2013 (1)	04:46:30.00	22.986	VPXIISB21_24.FIN2	13.54	0.24	0.90	0.5231	0.0073	0.025	0.65243	1.91168	0.09136305	0.1854	0.0025	0.0080	0.21648	0.1382	0.0029	no value	NAN	no value	NAN	FILENAME: VPXIISB21_24.FIN2
SB21_25	VPXIISB21_25.FIN2	08/09/2013 (1) 04:47:51.00	08/09/2013 (1)	04:47:51.00	22.986	VPXIISB21_25.FIN2	1.502	0.033	0.10	0.1526	0.0020	0.0071	0.3349	6.55308	0.3048943	0.0703	0.0015	0.0032	0.27213	0.0454	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB21_25.FIN2
SB21_26	VPXIISB21_26.FIN2	08/09/2013 (1) 04:50:33.00	08/09/2013 (1)	04:50:33.00	22.986	VPXIISB21_26.FIN2	4.851	0.068	0.32	0.3183	0.0034	0.015	0.63424	3.14169	0.1480533	0.1104	0.0013	0.0047	0.20625	0.0904	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB21_26.FIN2
SB21_27	VPXIISB21_27.FIN2	08/09/2013 (1) 04:51:53.00	08/09/2013 (1)	04:51:53.00	22.985	VPXIISB21_27.FIN2	3.032	0.031	0.20	0.2451	0.0023	0.011	0.78074	4.079967	0.1831075	0.08909	0.00057	0.0037	0.23112	0.0730	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB21_27.FIN2
SB21_28	VPXIISB21_28.FIN2	08/09/2013 (1) 04:53:14.00	08/09/2013 (1)	04:53:14.00	22.986	VPXIISB21_28.FIN2	2.182	0.040	0.15	0.1991	0.0019	0.0091	0.39269	5.022602	0.2295614	0.0788	0.0013	0.0035	0.17458	0.0578	0.0010	no value	NAN	no value	NAN	FILENAME: VPXIISB21_28.FIN2
SB21_29	VPXIISB21_29.FIN2	08/09/2013 (1) 04:54:35.00	08/09/2013 (1)	04:54:35.00	22.986	VPXIISB21_29.FIN2	12.93	0.16	0.84	0.5152	0.0055	0.024	0.83555	1.940994	0.09041897	0.1809	0.0013	0.0075	0.022814	0.1477	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB21_29.FIN2
SB21_30	VPXIISB21_30.FIN2	08/09/2013 (1) 04:55:55.00	08/09/2013 (1)	04:55:55.00	22.985	VPXIISB21_30.FIN2	3.258	0.033	0.21	0.2623	0.0028	0.012	0.75764	3.812429	0.1744153	0.08996	0.00066	0.0037	0.37048	0.0746	0.0010	no value	NAN	no value	NAN	FILENAME: VPXIISB21_30.FIN2
