	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	ErrorCorrelation_6_38vs7_35	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	ErrorCorrelation_38_6vs7_6	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	Final208_206	Final208_206_Int2SE	ExtraMetaData
AS3_18	AS3_66.FIN2	08/09/2013 (1) 05:08:04.00	08/09/2013 (1)	05:08:04.00	22.986	AS3_66.FIN2	2.173	0.019	0.14	0.2109	0.0015	0.0096	0.65789	4.741584	0.2158331	0.07553	0.00049	0.0031	0.24148	0.06420	0.00058	no value	NAN	no value	NAN	FILENAME: AS3_66.FIN2
																										
SB18_1	VPXIISB18_1.FIN2	08/09/2013 (1) 01:11:46.00	08/09/2013 (1)	01:11:46.00	22.986	VPXIISB18_1.FIN2	2.176	0.050	0.15	0.2005	0.0025	0.0093	0.2984	4.987531	0.2313418	0.0784	0.0019	0.0037	0.23195	0.0582	0.0012	no value	NAN	no value	NAN	FILENAME: VPXIISB18_1.FIN2
SB18_2	VPXIISB18_2.FIN2	08/09/2013 (1) 01:13:07.00	08/09/2013 (1)	01:13:07.00	22.985	VPXIISB18_2.FIN2	14.36	0.20	0.94	0.5489	0.0066	0.025	0.72252	1.821825	0.0829762	0.1903	0.0018	0.0080	0.22581	0.1456	0.0023	no value	NAN	no value	NAN	FILENAME: VPXIISB18_2.FIN2
SB18_3	VPXIISB18_3.FIN2	08/09/2013 (1) 01:14:27.00	08/09/2013 (1)	01:14:27.00	22.986	VPXIISB18_3.FIN2	15.60	0.20	1.0	0.5742	0.0060	0.026	0.69556	1.741553	0.07885822	0.1962	0.0019	0.0083	0.2866	0.1567	0.0021	no value	NAN	no value	NAN	FILENAME: VPXIISB18_3.FIN2
SB18_4	VPXIISB18_4.FIN2	08/09/2013 (1) 01:15:48.00	08/09/2013 (1)	01:15:48.00	22.985	VPXIISB18_4.FIN2	15.29	0.42	1.1	0.581	0.014	0.030	0.76908	1.72117	0.08887283	0.1893	0.0033	0.0084	0.23201	0.1428	0.0028	no value	NAN	no value	NAN	FILENAME: VPXIISB18_4.FIN2
SB18_5	VPXIISB18_5.FIN2	08/09/2013 (1) 01:17:09.00	08/09/2013 (1)	01:17:09.00	22.986	VPXIISB18_5.FIN2	2.424	0.035	0.16	0.2154	0.0019	0.0099	0.50372	4.642526	0.2133751	0.0806	0.0010	0.0034	0.18143	0.0643	0.0011	no value	NAN	no value	NAN	FILENAME: VPXIISB18_5.FIN2
SB18_6	VPXIISB18_6.FIN2	08/09/2013 (1) 01:19:52.00	08/09/2013 (1)	01:19:52.00	22.985	VPXIISB18_6.FIN2	6.563	0.090	0.43	0.3925	0.0039	0.018	0.67898	2.547771	0.1168404	0.1199	0.0013	0.0051	0.13957	0.1045	0.0018	no value	NAN	no value	NAN	FILENAME: VPXIISB18_6.FIN2
SB18_7	VPXIISB18_7.FIN2	08/09/2013 (1) 01:21:13.00	08/09/2013 (1)	01:21:13.00	22.985	VPXIISB18_7.FIN2	6.267	0.085	0.41	0.3770	0.0038	0.017	0.75573	2.65252	0.1196097	0.1193	0.0011	0.0050	-0.052541	0.1069	0.0014	no value	NAN	no value	NAN	FILENAME: VPXIISB18_7.FIN2
SB18_8	VPXIISB18_8.FIN2	08/09/2013 (1) 01:22:33.00	08/09/2013 (1)	01:22:33.00	22.986	VPXIISB18_8.FIN2	6.212	0.055	0.40	0.3729	0.0032	0.017	0.78259	2.681684	0.1222543	0.11961	0.00073	0.0050	0.24697	0.1047	0.0016	no value	NAN	no value	NAN	FILENAME: VPXIISB18_8.FIN2
